N	Wortform	Lemma	POS	Datum	Frequenz	Frequenz (rel.)
3	impfung mit hirnvenenthrombosen	impfung mit hirnvenenthrombosen	NN APPR NN	2021-03-18	1	13.3294233691451
3	impfung mit hirnvenenthrombosen	impfung mit hirnvenenthrombosen	NN APPR NN	2021-03-19	2	25.5460467492655
3	impfung mit sputnik	impfung mit sputnik	NN APPR NN	2021-04-03	4	92.5625954551766
3	impfung mit sputnik	impfung mit sputnik	NN APPR NN	2021-04-14	2	33.3967872290686
3	impfung mit sputnik	impfung mit sputnik	NN APPR NN	2021-06-04	2	27.9302302847487
3	impfungen mit astrazenaca	impfung mit astrazenaca	NN APPR NE	2021-03-17	1	12.8065569571621
3	impfungen mit pfizer	impfung mit pfizer	NN APPR NE	2021-03-16	2	26.8114484885046
3	impfungen mit pfizer	impfung mit pfizer	NN APPR NE	2021-07-22	2	27.4796993720889
3	impfungen mit biontech-vakzin	impfung mit biontech-vakzin	NN APPR NN	2021-03-26	1	13.3870600677385
3	impfung mit biontech-mittel	impfung mit biontech-mittel	NN APPR NN	2021-04-28	1	13.6289915909122
3	impfung mit ast	impfung mit ast	NN APPR NN	2021-04-29	1	12.6681699561681
3	impfung mit termin	impfung mit termin	NN APPR NN	2021-04-29	1	12.6681699561681
3	impfungen mit kochsalzlösung	impfung mit kochsalzlösung	NN APPR NN	2021-04-26	7	97.3425484279178
3	impfungen mit kochsalzlösung	impfung mit kochsalzlösung	NN APPR NN	2021-04-27	5	67.942167626916
3	impfungen mit kochsalzlösung	impfung mit kochsalzlösung	NN APPR NN	2021-05-05	5	70.4662044083658
3	impfungen mit kochsalzlösung	impfung mit kochsalzlösung	NN APPR NN	2021-08-11	2	27.920482465937
3	impfungen mit kochsalzlösung	impfung mit kochsalzlösung	NN APPR NN	2021-08-13	1	13.679142044211
3	impfungen mit kochsalzlösung	impfung mit kochsalzlösung	NN APPR NN	2021-08-20	2	28.4624580178744
3	impfungen mit moderna-impfstoff	impfung mit moderna-impfstoff	NN APPR NN	2021-01-12	2	27.0442037510311
